"geographyId","currency_ReferenceRate","totalSignedAmount_ReferenceRate","totalCommitmentAmount_ReferenceRate","totalDisbursedAmount_ReferenceRate","code","name"
"d75fca8c-d7e4-4c8d-9c44-91d6112827c7","USD",20731631.18,20731631.18,20731631.18,"CAM-708-G12-T",NA
"6a035503-7fc3-41bf-85f8-757fcb9e2773","USD",12188901.71,12188901.71,12188901.71,"GMB-T-NLTP",NA
"c357c367-5c94-4ccc-b849-fc4f61159000","USD",83920389.33,83920389.33,83920389.33,"SUD-708-G10-M",NA
"57e3816a-7b6f-400d-9621-1c82042a7765","USD",45519716.18,38319141.57,35529775.13,"DOM-H-CONAVIH",NA
"c357c367-5c94-4ccc-b849-fc4f61159000","USD",105524398,85912428,73803432,"SDN-M-UNICEF",NA
"9b694df1-565a-4c5d-ad64-786048414bd9","USD",2149206,2149206,2149206,"PRY-708-G03-T",NA
"cdfdab69-170a-42ea-8b98-8e19e19c685a","USD",17369918.41,17369918.41,17369918.41,"TKM-910-G01-T",NA
"97c2408c-ad34-4bae-a3f0-8bbb4a673a19","USD",6556775.08,6556775.08,6556775.08,"QSD-H-SCF",NA
"57e3816a-7b6f-400d-9621-1c82042a7765","USD",11075397.29,11075397.29,11075397.29,"DOM-T-MSPAS",NA
"1a056eb8-2c2d-4a5a-8263-3c0b24d1b44c","USD",82078480,77125283.84,67188123.7,"PAK-H-UNDP",NA
"b3d59122-9d71-4df9-ae0e-9e4b1b315de8","USD",312983741.54,284154133.54,284154133.54,"MMR-T-UNOPS",NA
"7b433a8d-92ac-4557-beab-13ceee659690","USD",24588866.2,24588866.2,24588866.2,"PHL-H-SC",NA
"265a29e3-6d91-4488-8f21-05dbf5040837","USD",633876.98,633876.98,633876.98,"KGZ-809-G06-M",NA
"c546498f-21fe-4685-909b-8a127a57afb0","USD",3554916.88,3554916.88,3554916.88,"TCD-810-G06-H",NA
"c0959d2a-326e-472a-a375-b8e70640560a","USD",311888.55,311888.55,311888.55,"UKR-102-G01-H-00",NA
"b1b90ecb-97df-4342-82c9-e6ae1782d3ea","USD",4890440.87,4890440.87,4890440.87,"QSA-H-IHAA",NA
"1a011619-1610-46be-a1ac-4cbafe3e6a42","USD",43723117.31,43723117.31,43723117.31,"GEO-H-NCDC",NA
"cb8bae2f-e706-4380-b03e-36ea6d6648d1","USD",9736721,9736721,9736721,"QPA-C-IGAD",NA
"5dc7f407-48e2-47dc-9e54-9a94e49999fe","USD",11141575.02,11141575.02,11141575.02,"SNG-T-PLAN",NA
"5061c5f2-1100-4eed-9cff-83787e240c78","USD",370831608.9,370831608.9,370831608.9,"ETH-405-G04-H",NA
"c34c5b40-98a0-4aa2-9501-f9290181a671","USD",609833.7,609833.7,609833.7,"TUN-810-G03-T",NA
"31cfcff9-d8a9-471b-a939-2b027cdf3f12","USD",3439395.04,3439395.04,3439395.04,"LAO-202-G03-T-00",NA
"d75fca8c-d7e4-4c8d-9c44-91d6112827c7","USD",22515842.59,22515842.59,22515842.59,"KHM-708-G11-H",NA
"1a011619-1610-46be-a1ac-4cbafe3e6a42","USD",3725699.88,3725699.88,3725699.88,"GEO-S10-G07-H",NA
"230dc866-39f9-4332-9c9d-6b9145dc667a","USD",2242340.78,0,0,"SRB-H-IPHS",NA
"6edd1ebf-5c1a-4c58-a3f4-69bd2e882d35","USD",117301567.83,113514288.54,109600294.19,"ERI-H-MOH",NA
"0ce9c9f6-40cb-429a-a51f-93cd10773722","USD",9376210.44,9376210.44,9376210.44,"THA-H-PSI",NA
"d869de58-2087-4633-a77f-5334f16159f2","USD",10330048.47,10330048.47,10330048.47,"AZE-405-G01-H",NA
"92d2e7b2-7b7c-436e-8464-9f8e39428e32","USD",3947691.24,3934897.46,3934897.46,"QPA-H-ANECCA",NA
"a37a1d83-5b1b-4b7f-af9f-1808fdffd792","USD",2855805.16,2855805.16,2855805.16,"GIN-H-GIZ",NA
"57e3816a-7b6f-400d-9621-1c82042a7765","USD",2945772,2945772,2945772,"DOM-708-G03-T",NA
"a15ecee9-30df-48e8-9bd1-a8ea04e779c6","USD",9948208.74,9948208.74,9948208.74,"PNG-809-G04-M",NA
"8821256b-ea63-4407-adbf-3ddf43878055","USD",60375834.81,59387967.81,60335834.27,"COD-H-MOH",NA
"a76e4125-b5f5-41c8-8bcc-82d9dc5d1342","USD",1671660,1671660,1671660,"RWA-Z-UNHCR",NA
